paper_title,paper_url,paper_arxiv_id,repo_url,is_official,framework,readmeUrl,requirementsUrl,requirementsLastCommitDate,mostProminentLanguage,stars,lastCommitDate,contributors
Focal Loss for Dense Object Detection,https://paperswithcode.com/paper/focal-loss-for-dense-object-detection,1708.02002,https://github.com/trongnghia00/darknet,false,none,https://raw.githubusercontent.com/trongnghia00/darknet/master/README.md,requirements.txt not found,None,C,0,2018-07-20T16:46:31Z,https://github.com/trongnghia00
Semi-Supervised Learning with Ladder Networks,https://paperswithcode.com/paper/semi-supervised-learning-with-ladder-networks,1507.02672,https://github.com/brandonrobertz/AcademicUrlTitles,false,none,https://raw.githubusercontent.com/brandonrobertz/AcademicUrlTitles/master/README.md,https://raw.githubusercontent.com/brandonrobertz/AcademicUrlTitles/master/requirements.txt,2018-12-15T22:41:48Z,Python,0,2018-12-15T22:41:48Z,"https://github.com/brandonrobertz, https://github.com/jtatum"
Co-designing for a Hybrid Workplace Experience in Software Development,https://paperswithcode.com/paper/co-designing-for-a-hybrid-workplace,2212.09638,https://github.com/co-design-hybrid/co-design-hybrid,true,none,https://raw.githubusercontent.com/co-design-hybrid/co-design-hybrid/main/README.md,requirements.txt not found,None,No language detected,2,2023-02-19T22:25:34Z,https://github.com/zhendow
Towards Automated Deep Learning: Efficient Joint Neural Architecture and Hyperparameter Search,https://paperswithcode.com/paper/towards-automated-deep-learning-efficient,1807.06906,https://github.com/arberzela/EfficientNAS,false,pytorch,https://raw.githubusercontent.com/arberzela/EfficientNAS/master/README.md,requirements.txt not found,None,Python,48,2020-02-12T11:22:18Z,https://github.com/arberzela
Statistical Parametric Speech Synthesis Using Generative Adversarial Networks Under A Multi-task Learning Framework,https://paperswithcode.com/paper/statistical-parametric-speech-synthesis-using,1707.01670,https://github.com/rickyHong/GANTTS-update-repl,false,pytorch,https://raw.githubusercontent.com/rickyHong/GANTTS-update-repl/master/README.md,requirements.txt not found,None,Jupyter Notebook,0,2018-08-13T15:13:52Z,https://github.com/r9y9
Perfect Sampling with Unitary Tensor Networks,https://paperswithcode.com/paper/perfect-sampling-with-unitary-tensor-networks,1201.3974,https://github.com/0/itensor-linear-rotors,false,none,https://raw.githubusercontent.com/0/itensor-linear-rotors/master/README.md,requirements.txt not found,None,C++,2,2020-01-30T22:37:05Z,https://github.com/0
Real-Time Single Image and Video Super-Resolution Using an Efficient Sub-Pixel Convolutional Neural Network,https://paperswithcode.com/paper/real-time-single-image-and-video-super,1609.05158,https://github.com/Nhat-Thanh/ESPCN-Pytorch,false,pytorch,https://raw.githubusercontent.com/Nhat-Thanh/ESPCN-Pytorch/main/README.md,requirements.txt not found,None,Python,3,2022-05-13T03:47:02Z,https://github.com/Nhat-Thanh
A structured matrix factorization framework for large scale calcium imaging data analysis,https://paperswithcode.com/paper/a-structured-matrix-factorization-framework,1409.2903,https://github.com/YGUO29/FANTASIA-CaImAn,false,none,https://raw.githubusercontent.com/YGUO29/FANTASIA-CaImAn/master/README.md,requirements.txt not found,None,MATLAB,0,2019-08-30T17:39:37Z,https://github.com/YGUO29
Recent Trends in Deep Learning Based Natural Language Processing,https://paperswithcode.com/paper/recent-trends-in-deep-learning-based-natural,1708.02709,https://github.com/ridakadri14/AspectBasedSentimentAnalysis,false,tf,README not found,requirements.txt not found,None,Python,5,2018-12-25T13:31:58Z,https://github.com/ridakadri14
CVAE-GAN: Fine-Grained Image Generation through Asymmetric Training,https://paperswithcode.com/paper/cvae-gan-fine-grained-image-generation,1703.10155,https://github.com/One-sixth/CVAE-GAN_tensorlayer,false,tf,https://raw.githubusercontent.com/One-sixth/CVAE-GAN_tensorlayer/master/README.md,requirements.txt not found,None,Python,21,2018-08-23T08:11:39Z,https://github.com/One-sixth
Hamiltonian Descent Methods,https://paperswithcode.com/paper/hamiltonian-descent-methods,1809.05042,https://github.com/takyamamoto/FirstExplicitMethod-HDM,false,none,https://raw.githubusercontent.com/takyamamoto/FirstExplicitMethod-HDM/master/README.md,requirements.txt not found,None,Python,7,2018-09-19T07:10:37Z,https://github.com/takyamamoto
A Deep Generative Model for Semi-Supervised Classification with Noisy Labels,https://paperswithcode.com/paper/a-deep-generative-model-for-semi-supervised,1809.05957,https://github.com/maxime1310/fuzzy_labeling_scRNA,true,pytorch,https://raw.githubusercontent.com/maxime1310/fuzzy_labeling_scRNA/master/README.rst,https://raw.githubusercontent.com/maxime1310/fuzzy_labeling_scRNA/master/requirements.txt,2018-07-19T17:56:04Z,Python,7,2018-08-09T20:12:34Z,"https://github.com/Edouard360, https://github.com/jeff-regier, https://github.com/maxime-langevin, https://github.com/imyiningliu, https://github.com/romain-lopez, https://github.com/chenlingantelope"
LeFlow: Enabling Flexible FPGA High-Level Synthesis of Tensorflow Deep Neural Networks,https://paperswithcode.com/paper/leflow-enabling-flexible-fpga-high-level,1807.05317,https://github.com/danielholanda/LeFlow,true,tf,https://raw.githubusercontent.com/danielholanda/LeFlow/master/README.md,requirements.txt not found,None,Verilog,578,2020-01-03T20:33:13Z,"https://github.com/danielholanda, https://github.com/baharsalehpour, https://github.com/joseppinilla, https://github.com/LucasBraganca, https://github.com/santacml"
Inverse Problems in Asteroseismology,https://paperswithcode.com/paper/inverse-problems-in-asteroseismology,1808.06649,https://github.com/earlbellinger/thesis,false,none,https://raw.githubusercontent.com/earlbellinger/thesis/master/README.md,requirements.txt not found,None,TeX,0,2018-11-02T12:20:10Z,https://github.com/earlbellinger
Predictive Entropy Search for Efficient Global Optimization of Black-box Functions,https://paperswithcode.com/paper/predictive-entropy-search-for-efficient,1406.2541,https://github.com/chongkewu/PESC-HPC,false,none,https://raw.githubusercontent.com/chongkewu/PESC-HPC/master/README.md,requirements.txt not found,None,Python,4,2018-11-23T03:34:41Z,https://github.com/chongkewu
Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning,https://paperswithcode.com/paper/tencent-ml-images-a-large-scale-multi-label,1901.01703,https://github.com/Tencent/tencent-ml-images,true,tf,https://raw.githubusercontent.com/Tencent/tencent-ml-images/master/README.md,requirements.txt not found,None,Python,3051,2019-12-26T03:15:30Z,"https://github.com/wubaoyuan, https://github.com/YanboFan, https://github.com/0xflotus"
Visual Relationship Detection with Language prior and Softmax,https://paperswithcode.com/paper/visual-relationship-detection-with-language-1,1904.07798,https://github.com/Jungjaewon/Visual-Relationship-Detection,false,caffe2,https://raw.githubusercontent.com/Jungjaewon/Visual-Relationship-Detection/master/README.md,requirements.txt not found,None,Python,4,2020-08-25T12:15:50Z,https://github.com/Jungjaewon
End-To-End Memory Networks,https://paperswithcode.com/paper/end-to-end-memory-networks,1503.08895,https://github.com/dare0021/MemN2N_Bench,false,none,https://raw.githubusercontent.com/dare0021/MemN2N_Bench/master/README.md,requirements.txt not found,None,Python,0,2018-07-05T05:57:30Z,https://github.com/dare0021
Dense Object Nets: Learning Dense Visual Object Descriptors By and For Robotic Manipulation,https://paperswithcode.com/paper/dense-object-nets-learning-dense-visual,1806.08756,https://github.com/RobotLocomotion/pytorch-dense-correspondence,true,pytorch,https://raw.githubusercontent.com/RobotLocomotion/pytorch-dense-correspondence/master/README.md,requirements.txt not found,None,Python,555,2019-06-26T22:45:31Z,"https://github.com/manuelli, https://github.com/peteflorence"
ECG arrhythmia classification using a 2-D convolutional neural network,https://paperswithcode.com/paper/ecg-arrhythmia-classification-using-a-2-d,1804.06812,https://github.com/lorenzobrusco/ECGNeuralNetwork,false,tf,https://raw.githubusercontent.com/lorenzobrusco/ECGNeuralNetwork/master/README.md,https://raw.githubusercontent.com/lorenzobrusco/ECGNeuralNetwork/master/requirements.txt,2018-09-27T08:50:11Z,Python,21,2018-10-10T13:48:35Z,https://github.com/lorenzobrusco
3D Densely Convolutional Networks for Volumetric Segmentation,https://paperswithcode.com/paper/3d-densely-convolutional-networks-for,1709.03199,https://github.com/tbuikr/3D_DenseSeg,true,caffe2,https://raw.githubusercontent.com/tbuikr/3D_DenseSeg/master/README.md,requirements.txt not found,None,Python,47,2019-08-15T23:06:22Z,https://github.com/tbuikr
Learning Interpretable Rules for Multi-label Classification,https://paperswithcode.com/paper/learning-interpretable-rules-for-multi-label,1812.00050,https://github.com/keelm/SeCo-MLC,true,none,https://raw.githubusercontent.com/keelm/SeCo-MLC/master/README.md,requirements.txt not found,None,Java,0,2021-12-16T01:39:40Z,"https://github.com/michael-rapp, https://github.com/keelm"
Bilinear dynamic mode decomposition for quantum control,https://paperswithcode.com/paper/bilinear-dynamic-mode-decomposition-for,2010.14577,https://github.com/andgoldschmidt/biDMD-for-quantum,false,none,https://raw.githubusercontent.com/andgoldschmidt/biDMD-for-quantum/main/README.md,requirements.txt not found,None,Jupyter Notebook,4,2021-02-08T22:33:15Z,https://github.com/andgoldschmidt
Fast inference of Boosted Decision Trees in FPGAs for particle physics,https://paperswithcode.com/paper/fast-inference-of-boosted-decision-trees-in,2002.02534,https://github.com/thesps/conifer,false,tf,https://raw.githubusercontent.com/thesps/conifer/master/README.md,requirements.txt not found,None,Python,47,2024-08-30T08:48:09Z,"https://github.com/thesps, https://github.com/benjaminkreis, https://github.com/nhanvtran, https://github.com/jmduarte, https://github.com/Chriisbrown, https://github.com/ejk43, https://github.com/achoum, https://github.com/francescobrivio, https://github.com/pviscone, https://github.com/andredami, https://github.com/Farheen-github, https://github.com/zhenbinwu, https://github.com/jngadiub"
Underwater Multi-Robot Convoying using Visual Tracking by Detection,https://paperswithcode.com/paper/underwater-multi-robot-convoying-using-visual,1709.08292,https://github.com/Breakend/TemporalYolo,true,tf,https://raw.githubusercontent.com/Breakend/TemporalYolo/master/README.md,requirements.txt not found,None,Python,4,2017-08-12T22:14:07Z,"https://github.com/weidi-chang, https://github.com/Breakend"
Systematic study of color spaces and components for the segmentation of sky/cloud images,https://paperswithcode.com/paper/systematic-study-of-color-spaces-and,1701.04520,https://github.com/Soumyabrata/color-channels,true,none,https://raw.githubusercontent.com/Soumyabrata/color-channels/master/README.md,requirements.txt not found,None,MATLAB,4,2016-12-24T08:15:15Z,https://github.com/Soumyabrata
XLNet: Generalized Autoregressive Pretraining for Language Understanding,https://paperswithcode.com/paper/xlnet-generalized-autoregressive-pretraining,1906.08237,https://github.com/tomgoter/nlp_finalproject,false,tf,https://raw.githubusercontent.com/tomgoter/nlp_finalproject/master/README.md,requirements.txt not found,None,Jupyter Notebook,1,2019-12-07T17:56:25Z,https://github.com/tomgoter
Effect of Mitigation Measures on the Spreading of COVID-19 in Hard-Hit States,https://paperswithcode.com/paper/effect-of-mitigation-measures-on-the,2004.14621,https://github.com/kmtam/covid19_data,false,none,https://raw.githubusercontent.com/kmtam/covid19_data/master/README.md,requirements.txt not found,None,No language detected,0,2020-09-16T00:08:16Z,https://github.com/kmtam
Creating a Translation Matrix of the Bible's Names Across 591 Languages,https://paperswithcode.com/paper/creating-a-translation-matrix-of-the-bibleas,,https://github.com/wswu/trabina,true,none,https://raw.githubusercontent.com/wswu/trabina/master/README.md,requirements.txt not found,None,Python,5,2018-05-09T05:35:55Z,https://github.com/wswu
CATENA: CAusal and TEmporal relation extraction from NAtural language texts,https://paperswithcode.com/paper/catena-causal-and-temporal-relation,,https://github.com/paramitamirza/CATENA,true,none,https://raw.githubusercontent.com/paramitamirza/CATENA/master/README.md,requirements.txt not found,None,Java,42,2018-09-21T16:52:03Z,https://github.com/paramitamirza
Polarized Self-Attention: Towards High-quality Pixel-wise Regression,https://paperswithcode.com/paper/polarized-self-attention-towards-high-quality-1,2107.00782,https://github.com/xmu-xiaoma666/External-Attention-pytorch/blob/master/attention/PolarizedSelfAttention.py,false,pytorch,https://raw.githubusercontent.com/xmu-xiaoma666/External-Attention-pytorch/master/README.md,requirements.txt not found,None,Python,11266,2024-08-29T06:47:59Z,"https://github.com/xmu-xiaoma666, https://github.com/wmkai, https://github.com/iscyy, https://github.com/rushi-the-neural-arch, https://github.com/epsilon-deltta"
Tree Structured Dirichlet Processes for Hierarchical Morphological Segmentation,https://paperswithcode.com/paper/tree-structured-dirichlet-processes-for,,https://github.com/burcu-can/TreeStructuredDP,true,none,https://raw.githubusercontent.com/burcu-can/TreeStructuredDP/master/README.md,requirements.txt not found,None,Java,2,2017-04-20T17:59:50Z,https://github.com/burcu-can
APES: a Python toolbox for simulating reinforcement learning environments,https://paperswithcode.com/paper/apes-a-python-toolbox-for-simulating,1808.10692,https://github.com/aqeel13932/APES,true,none,https://raw.githubusercontent.com/aqeel13932/APES/master/README.md,requirements.txt not found,None,Jupyter Notebook,10,2019-03-13T10:46:55Z,https://github.com/aqeel13932
Less is More: Focus Attention for Efficient DETR,https://paperswithcode.com/paper/less-is-more-focus-attention-for-efficient,2307.12612,https://github.com/MindSpore-paper-code-3/code7/tree/main/Focus-DETR,false,mindspore,README not found,requirements.txt not found,None,Python,0,2023-10-16T06:58:24Z,https://github.com/yangyucheng000
Natural Langevin Dynamics for Neural Networks,https://paperswithcode.com/paper/natural-langevin-dynamics-for-neural-networks,1712.01076,https://github.com/gmarceaucaron/natural-langevin-dynamics-for-neural-networks,true,none,https://raw.githubusercontent.com/gmarceaucaron/natural-langevin-dynamics-for-neural-networks/master/README.md,requirements.txt not found,None,Lua,10,2017-10-15T23:15:27Z,https://github.com/gmarceaucaron
Inducing Temporal Relations from Time Anchor Annotation,https://paperswithcode.com/paper/inducing-temporal-relations-from-time-anchor,,https://github.com/racerandom/temporalorder,true,none,https://raw.githubusercontent.com/racerandom/temporalorder/master/README.md,requirements.txt not found,None,No language detected,0,2018-07-16T07:21:27Z,https://github.com/racerandom
Saliency-Aware Geodesic Video Object Segmentation,https://paperswithcode.com/paper/saliency-aware-geodesic-video-object,,https://github.com/shenjianbing/videoseg15,true,none,https://raw.githubusercontent.com/shenjianbing/videoseg15/master/README.txt,requirements.txt not found,None,MATLAB,26,2017-12-06T05:10:33Z,https://github.com/shenjianbing
DARTS: Differentiable Architecture Search,https://paperswithcode.com/paper/darts-differentiable-architecture-search,1806.09055,https://github.com/liamcli/darts,false,pytorch,https://raw.githubusercontent.com/liamcli/darts/master/README.md,requirements.txt not found,None,Python,3,2019-06-07T10:30:46Z,"https://github.com/quark0, https://github.com/lsmithbecker, https://github.com/liamcli"
Bayesian Learning of Neural Network Architectures,https://paperswithcode.com/paper/bayesian-learning-of-neural-network,1901.04436,https://github.com/antonFJohansson/Bayesian-Learning-of-Neural-Network-Architectures,false,none,https://raw.githubusercontent.com/antonFJohansson/Bayesian-Learning-of-Neural-Network-Architectures/master/README.md,requirements.txt not found,None,Jupyter Notebook,6,2019-04-19T13:35:48Z,https://github.com/antonFJohansson
PROVES: Establishing Image Provenance using Semantic Signatures,https://paperswithcode.com/paper/proves-establishing-image-provenance-using,2110.11411,https://github.com/manavkulshrestha/imgprov,true,pytorch,README not found,requirements.txt not found,None,Java,0,2020-06-26T19:53:40Z,"https://github.com/manavkulshrestha, https://github.com/mingyangx"
Robust Blind Deconvolution via Mirror Descent,https://paperswithcode.com/paper/robust-blind-deconvolution-via-mirror-descent,1803.08137,https://github.com/tianyishan/Blind_Deconvolution,false,none,https://raw.githubusercontent.com/tianyishan/Blind_Deconvolution/master/README.md,requirements.txt not found,None,C++,22,2018-10-23T19:59:06Z,
"Distance-based classifier by data transformation for high-dimension, strongly spiked eigenvalue models",https://paperswithcode.com/paper/distance-based-classifier-by-data,1710.10768,https://github.com/keisuke6616/Distance-based-classifier-by-data-transformation-for-high-dimension-strongly-spiked-eigenvalue-mode,false,none,https://raw.githubusercontent.com/keisuke6616/Distance-based-classifier-by-data-transformation-for-high-dimension-strongly-spiked-eigenvalue-mode/master/README.md,requirements.txt not found,None,Jupyter Notebook,0,2019-03-17T07:17:27Z,https://github.com/koniko25
Reading Wikipedia to Answer Open-Domain Questions,https://paperswithcode.com/paper/reading-wikipedia-to-answer-open-domain,1704.00051,https://github.com/hitvoice/DrQA,false,pytorch,https://raw.githubusercontent.com/hitvoice/DrQA/master/README.md,https://raw.githubusercontent.com/hitvoice/DrQA/master/requirements.txt,2022-03-14T02:30:15Z,Python,402,2022-03-14T02:30:15Z,"https://github.com/hitvoice, https://github.com/brettkoonce"
High-Resolution Image Inpainting using Multi-Scale Neural Patch Synthesis,https://paperswithcode.com/paper/high-resolution-image-inpainting-using-multi,1611.09969,https://github.com/leehomyc/Faster-High-Res-Neural-Inpainting,false,torch,https://raw.githubusercontent.com/leehomyc/Faster-High-Res-Neural-Inpainting/master/README.md,requirements.txt not found,None,Lua,1295,2018-05-29T22:01:58Z,"https://github.com/leehomyc, https://github.com/merofeev"
Consensus-Driven Propagation in Massive Unlabeled Data for Face Recognition,https://paperswithcode.com/paper/consensus-driven-propagation-in-massive,1809.01407,https://github.com/XiaohangZhan/cdp,true,pytorch,https://raw.githubusercontent.com/XiaohangZhan/cdp/master/README.md,requirements.txt not found,None,Python,456,2019-09-15T08:00:04Z,https://github.com/XiaohangZhan
Minority Language Twitter: Part-of-Speech Tagging and Analysis of Irish Tweets,https://paperswithcode.com/paper/minority-language-twitter-part-of-speech,,https://github.com/tlynn747/IrishTwitterPOS,true,none,https://raw.githubusercontent.com/tlynn747/IrishTwitterPOS/master/README.md,requirements.txt not found,None,No language detected,7,2017-10-01T21:11:48Z,https://github.com/tlynn747
A Deep Multi-Level Network for Saliency Prediction,https://paperswithcode.com/paper/a-deep-multi-level-network-for-saliency,1609.01064,https://github.com/marcellacornia/mlnet,true,pytorch,https://raw.githubusercontent.com/marcellacornia/mlnet/master/README.md,requirements.txt not found,None,Python,94,2021-10-26T14:05:12Z,https://github.com/marcellacornia
Quantum adiabatic machine learning with zooming,https://paperswithcode.com/paper/quantum-adiabatic-machine-learning-with,1908.04480,https://github.com/quantummind/qaml-z,true,none,https://raw.githubusercontent.com/quantummind/qaml-z/master/README.md,requirements.txt not found,None,Python,7,2021-08-06T09:18:29Z,https://github.com/quantummind
Solving the Rubik's Cube Without Human Knowledge,https://paperswithcode.com/paper/solving-the-rubiks-cube-without-human,1805.07470,https://github.com/Dalkio/RL_rubiks,false,none,https://raw.githubusercontent.com/Dalkio/RL_rubiks/master/README.md,requirements.txt not found,None,Jupyter Notebook,0,2019-03-06T21:43:31Z,https://github.com/dalkio
TS-LSTM and Temporal-Inception: Exploiting Spatiotemporal Dynamics for Activity Recognition,https://paperswithcode.com/paper/ts-lstm-and-temporal-inception-exploiting,1703.10667,https://github.com/chihyaoma/Activity-Recognition-with-CNN-and-RNN,true,torch,https://raw.githubusercontent.com/chihyaoma/Activity-Recognition-with-CNN-and-RNN/master/README.md,requirements.txt not found,None,Lua,439,2020-06-27T16:48:24Z,"https://github.com/chihyaoma, https://github.com/cmhungsteve"
Neural Machine Translation with Heterogeneous Topic Knowledge Embeddings,https://paperswithcode.com/paper/neural-machine-translation-with-heterogeneous,,https://github.com/Vicky-Wil/topic-NMT,true,pytorch,https://raw.githubusercontent.com/Vicky-Wil/topic-NMT/main/README.md,https://raw.githubusercontent.com/Vicky-Wil/topic-NMT/main/requirements.txt,2022-03-01T02:37:39Z,Python,7,2024-05-13T22:54:43Z,https://github.com/weixuan-wang123
Gaussian Process Classification for Variable Fidelity Data,https://paperswithcode.com/paper/gaussian-process-classification-for-variable,1809.05143,https://github.com/user525/mfgpc,true,none,https://raw.githubusercontent.com/user525/mfgpc/master/README.md,requirements.txt not found,None,Python,3,2019-02-18T12:02:05Z,https://github.com/user525
Confidence from Invariance to Image Transformations,https://paperswithcode.com/paper/confidence-from-invariance-to-image,1804.00657,https://github.com/YuvalBahat/Confidence_From_Invariance,false,tf,https://raw.githubusercontent.com/YuvalBahat/Confidence_From_Invariance/master/README.md,requirements.txt not found,None,Python,6,2020-04-28T16:24:59Z,https://github.com/YuvalBahat
Penalty Method for Obliquely Reflected Diffusions,https://paperswithcode.com/paper/penalty-method-for-obliquely-reflected,1509.01777,https://github.com/camponsah/Penalty-Method-Obliquely-Reflected-Diffusions,false,none,https://raw.githubusercontent.com/camponsah/Penalty-Method-Obliquely-Reflected-Diffusions/master/README.md,requirements.txt not found,None,R,0,2019-04-09T00:08:19Z,https://github.com/camponsah
